Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,"1,703",7,,"\1,569",,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,121,0,,\107,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,102,0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,148,1,,\19,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,100,0,,\92,,
2018/2/5,03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,"1,282",3,,\329,,
2018/2/5,03_口座開設一般,PC,Listing,Google,-,-,"1,834",46,,"\16,342",2.16,
2018/2/5,03_口座開設一般,PC,Listing,Google,,,342,8,,"\3,110",2.66,
2018/2/5,03_口座開設一般,SP,Listing,Google,-,-,"10,463",627,8,"\221,326",1.8,
2018/2/5,03_口座開設一般,SP,Listing,Google,,,"1,399",39,,"\16,366",1.89,
2018/2/5,03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,980,1,,\158,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,59,0,,\60,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,"1,413",2,,"\1,348",,
2018/2/5,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,666,3,,\266,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,460,0,,\0,,
2018/2/5,05_海外への送金,PC,Listing,Google,,,4,0,,\0,4.5,
2018/2/5,05_海外への送金,PC,Listing,Google,-,-,812,27,,"\11,285",1.67,
2018/2/5,05_海外への送金,SP,Listing,Google,-,-,"1,070",38,,"\14,950",1.66,
2018/2/5,06_外貨預金,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,458,1,,\290,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,"5,592",6,,\514,,
2018/2/5,05_海外への送金,SP,Listing,Google,,,29,1,,\534,1.85,
2018/2/5,04_海外での利用,PC,RT,YDN,S2.コンテンツ離脱,31日～90日,"19,323",3,1,\498,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,173,0,,\0,,
2018/2/5,04_海外での利用,SP,RT,YDN,S2.コンテンツ離脱,1日,"4,630",3,,\414,,
2018/2/5,01_指名,PC,Listing,Y!PSD,-,-,609,10,,"\8,928",,
2018/2/5,01_指名,SP,Listing,Y!PSD,-,-,246,1,,"\8,928",,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,549,0,,\509,,
2018/2/5,03_口座開設一般,PC,RT,GDN,S4.申込フォーム離脱_STEP2,-,"3,131",4,,\854,,
2018/2/5,03_口座開設一般,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,"2,454",2,,\540,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,4日～7日,173,0,,\0,,
2018/2/5,06_外貨預金,PC,AT,GDN,-,-,64,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,"1,136",4,,"\1,083",,
2018/2/5,06_外貨預金,PC,RT,GDN,S5.申込フォーム離脱_STEP3,-,33,0,,\0,,
2018/2/5,06_外貨預金,SP,AT,GDN,-,-,157,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,4日～7日,106,0,,\0,,
2018/2/5,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,190,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,12,0,,\0,,
2018/2/5,04_海外での利用,SP,RT,YDN,S3.口座開設詳細離脱,31日～90日,"1,143",2,,\34,,
2018/2/5,06_外貨預金,SP,RT,GDN,S5.申込フォーム離脱_STEP3,-,5,0,,\0,,
2018/2/5,04_海外での利用,PC,RT,YDN,S3.口座開設詳細離脱,31日～90日,"2,257",0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,8日～15日,268,0,,\0,,
2018/2/5,06_外貨預金,PC,RT,YDN,S2.コンテンツ離脱,4日～7日,808,0,,\0,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,121,0,,\132,,
