Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_position,Yahoo!_Position
10-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,16日～30日,117,0,,0,NaN,NaN
10-Dec-17,06_外貨預金,SP,AT,GDN,-,-,461,0,,0,NaN,NaN
10-Dec-17,06_外貨預金,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,194,0,,0,NaN,NaN
10-Dec-17,01_指名,SP,Listing,Yahoo!,-,-,316,7,,1212,NaN,1.04
10-Dec-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,104,0,,0,NaN,NaN
10-Dec-17,03_口座開設一般,PC,RT,YDN,S3.口座開設詳細離脱,16日～30日,371,0,,0,NaN,NaN
10-Dec-17,01_指名,PC,Listing,Yahoo!,-,-,735,54,2,1531,NaN,1.02
10-Dec-17,00_手数料無料,PC,AT,Y!JAX,流出ターゲティング,-,2521,7,,2049,NaN,NaN
10-Dec-17,00_手数料無料,PC,RT,GDN,S4.申込フォーム離脱,-,823,2,,631,NaN,NaN
10-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,134,0,,0,NaN,NaN
10-Dec-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,4日～7日,105,0,,0,NaN,NaN
10-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,8日～15日,101,0,,0,NaN,NaN
10-Dec-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,1日～3日,120,0,,0,NaN,NaN
10-Dec-17,00_手数料無料,SP,AT,GDN,-,-,643,4,,70,NaN,NaN
10-Dec-17,03_口座開設一般,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,88,0,,0,NaN,NaN
10-Dec-17,04_海外での利用,PC,RT,GDN,S3.口座開設詳細離脱,-,5281,6,,676,NaN,NaN
10-Dec-17,04_海外での利用,SP,RT,GDN,S4.申込フォーム離脱,-,16624,22,,6256,NaN,NaN
10-Dec-17,04_海外での利用,PC,RT,GDN,S4.申込フォーム離脱,-,9736,7,,3980,NaN,NaN
10-Dec-17,04_海外での利用,SP,RT,GDN,S3.口座開設詳細離脱,-,13774,25,,2573,NaN,NaN
10-Dec-17,06_外貨預金,SP,RT,YDN,S4.申込フォーム離脱,1日～3日,58,0,,0,NaN,NaN
10-Dec-17,04_海外での利用,SP,RT,YDN,S4.申込フォーム離脱,16日～30日,273,1,,350,NaN,NaN
10-Dec-17,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,8日～15日,242,1,,17,NaN,NaN
10-Dec-17,00_手数料無料,PC,AT,GDN,-,-,793,3,,156,NaN,NaN
10-Dec-17,00_手数料無料,SP,RT,YDN,S1.TOPページ離脱,16日～30日,93,0,,0,NaN,NaN
10-Dec-17,04_海外での利用,PC,RT,YDN,S4.申込フォーム離脱,16日～30日,341,0,,0,NaN,NaN
10-Dec-17,00_手数料無料,PC,RT,YDN,S1.TOPページ離脱,16日～30日,168,0,,0,NaN,NaN
10-Dec-17,06_外貨預金,PC,RT,Y!JAX,S2.コンテンツ離脱,1日～7日,1359,7,,1723,NaN,NaN
