Day,Appeal,Device,LS/RT/AT,Media,Structure/Menu,Recency/Segment,Impressions,Clicks,CV,Media Cost Margin,Google_AdRank,Yahoo!_AdRank
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,31日～90日,668 ,1 ,,48 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S2.コンテンツ離脱,1日,932 ,1 ,,138 ,,
2018/2/5,03_口座開設一般,SP,AT,GDN,-,-,2284 ,4 ,,180 ,,
2018/2/5,04_海外での利用,PC,Listing,Google,-,-,437 ,7 ,,2062 ,3 ,
2018/2/5,04_海外での利用,SP,Listing,Google,-,-,457 ,20 ,,4124 ,3 ,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S4.申込フォーム離脱,16日～30日,264 ,2 ,,273 ,,
2018/2/5,03_口座開設一般,PC,AT,GDN,-,-,2755 ,1 ,,94 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,229 ,1 ,,231 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S1.TOPページ離脱,1日～7日,1703 ,7 ,,1569 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S2.コンテンツ離脱,16日～30日,121 ,0 ,,107 ,,
2018/2/5,06_外貨預金,SP,RT,YDN,S3.口座開設詳細離脱,1日～3日,102 ,0 ,,0 ,,
2018/2/5,06_外貨預金,PC,RT,YDN,S3.口座開設詳細離脱,1日～3日,148 ,1 ,,19 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S1.TOPページ離脱,16日～30日,100 ,0 ,,92 ,,
2018/2/5,03_口座開設一般,SP,RT,GDN,S3.口座開設詳細離脱,-,1282 ,3 ,,329 ,,
2018/2/5,03_口座開設一般,PC,Listing,Google,-,-,1834 ,46 ,,16342 ,2 ,
2018/2/5,03_口座開設一般,PC,Listing,Google,,,342 ,8 ,,3110 ,3 ,
2018/2/5,03_口座開設一般,SP,Listing,Google,-,-,10463 ,627 ,8 ,221326 ,2 ,
2018/2/5,03_口座開設一般,SP,Listing,Google,,,1399 ,39 ,,16366 ,2 ,
2018/2/5,03_口座開設一般,PC,RT,GDN,S3.口座開設詳細離脱,-,980 ,1 ,,158 ,,
2018/2/5,03_口座開設一般,PC,RT,Y!JAX,S4.申込フォーム離脱,8日～15日,59 ,0 ,,60 ,,
2018/2/5,04_海外での利用,PC,RT,Y!JAX,S2.コンテンツ離脱,8日～15日,1413 ,2 ,,1348 ,,
2018/2/5,06_外貨預金,SP,RT,GDN,S4.申込フォーム離脱_STEP2,-,666 ,3 ,,266 ,,
